,COD_REGION,REGION,COD_PROVIN,PROVINCIA,CUT,ID_COM,COMUNA,TOTAL_PERS,TOTAL_HOMB,TOTAL_MUJE,PERSONAS_0,PERSONAS_6,PERSONAS_1,PERSONAS_M,PERSONAS_E,PUEBLOS_IN,TOTAL_VIV_,TOTAL_VI_1,VIV_OCUPA_,TOTAL_VIVI,CANTIDAD_H,VIV_TIPO_C,VIV_TIPO_D,VIV_TIPO_T,VIV_TIPO_P,VIV_TIPO_M,VIV_TIPO_1,VIV_TIPO_O,VIV_PARED_,VIV_PARE_1,VIV_PARE_2,VIV_PARE_3,VIV_PARE_4,VIV_PARE_5,VIV_TECHO_,VIV_TECH_1,VIV_TECH_2,VIV_TECH_3,VIV_TECH_4,VIV_TECH_5,VIV_TECH_6,VIV_PISO_P,VIV_PISO_R,VIV_PISO_B,VIV_PISO_C,VIV_PISO_T,VIV_MATERI,VIV_MATE_1,VIV_MATE_2,VIV_AGUA_R,VIV_AGUA_P,VIV_AGUA_C,VIV_AGUA_1,lat_comuna,lon_comuna,color
284,13,REGIÃ“N METROPOLITANA DE SANTIAGO,131,SANTIAGO,13129,13129,SAN JOAQUÃN,94325,45675,48537,6034,8500,64003,13489,5432,9413,30029,25,27827,30054,29630,22657,6655,2,408,169,1,137,7459,16541,2284,772,603,33,4997,3681,18774,62,2,70,13,25480,615,1158,267,24,24211,3095,122,27601,6,2,4,-33.49620587280001,-70.62870059209996,#f632a3
285,13,REGIÃ“N METROPOLITANA DE SANTIAGO,131,SANTIAGO,13130,13130,SAN MIGUEL,107828,50659,57169,7556,9325,76115,13618,7470,7874,42838,54,37073,42892,38328,15528,26541,1,448,121,0,199,22930,10945,1525,507,952,18,6640,18775,11187,50,6,49,2,35849,258,457,123,6,34307,2115,62,36818,1,3,2,-33.499187707899985,-70.65177646429999,#f632a3
286,13,REGIÃ“N METROPOLITANA DE SANTIAGO,131,SANTIAGO,13131,13131,SAN RAMÃ“N,82602,40710,41892,6046,8804,54766,11868,2352,10788,23731,12,22816,23743,24271,19972,2648,3,383,528,1,196,3271,13760,3906,1403,328,34,2874,1129,18476,61,3,61,12,19410,1332,1396,399,54,17974,4363,137,22611,6,3,2,-33.54053736679999,-70.64231531259999,#f632a3
287,13,REGIÃ“N METROPOLITANA DE SANTIAGO,131,SANTIAGO,13132,13132,VITACURA,85300,38297,46872,6212,8222,54249,14497,9305,1971,31721,32,27832,31753,28092,12711,18971,1,3,1,0,34,20456,7014,187,23,9,2,11261,13972,2327,24,0,8,0,27386,35,126,7,1,27176,221,9,27614,2,2,5,-33.3795435948,-70.57313041909998,#f632a3
288,13,REGIÃ“N METROPOLITANA DE SANTIAGO,132,CORDILLERA,13201,13201,PUENTE ALTO,565451,273762,291648,40912,68991,399294,39610,7354,60449,170483,59,160935,170542,163830,152339,16686,4,505,665,5,279,21539,129703,6500,2071,523,96,56729,7640,95063,294,9,234,65,146582,2859,9131,1011,64,143725,14973,406,159809,39,97,46,-33.591173735700046,-70.55798202090027,#f632a3
289,13,REGIÃ“N METROPOLITANA DE SANTIAGO,132,CORDILLERA,13202,13202,PIRQUE,26365,13339,13001,1920,3127,18075,2476,410,1588,8254,12,7518,8266,7609,8037,2,3,19,146,3,44,494,3029,2802,622,530,20,2301,22,5101,22,2,26,6,6395,436,400,218,29,5500,1881,65,5990,919,108,465,-33.71848309560001,-70.50682947869998,#1381c0
290,13,REGIÃ“N METROPOLITANA DE SANTIAGO,132,CORDILLERA,13203,13203,SAN JOSÃ‰ DE MAIPO,18096,9760,8261,1029,1759,11883,1749,466,1414,6814,75,5096,6889,5174,6502,23,4,24,202,5,54,298,1371,2334,690,367,21,845,7,4145,16,0,41,8,4296,305,263,145,52,3454,1482,102,3638,295,242,877,-33.70361725939998,-70.09650717089995,#1381c0
291,13,REGIÃ“N METROPOLITANA DE SANTIAGO,133,CHACABUCO,13301,13301,COLINA,146028,74372,71393,13723,21114,98778,7798,9598,12409,42947,28,38925,42975,39615,38600,3446,4,253,552,16,76,9644,20567,6291,2022,233,58,12726,3105,22657,111,5,84,38,35308,1299,1457,537,67,33309,5006,221,34760,3289,467,182,-33.13489948880003,-70.61609816390005,#1381c0
292,13,REGIÃ“N METROPOLITANA DE SANTIAGO,133,CHACABUCO,13302,13302,LAMPA,101956,51399,50410,9321,14507,69066,5252,3580,10567,33285,26,29297,33311,29707,31737,343,2,173,850,37,143,3401,13816,8898,2791,169,95,11709,265,16921,107,3,126,14,25914,1310,1320,433,99,23285,5404,289,24896,3133,1042,40,-33.27810690110003,-70.87515952859995,#1381c0
293,13,REGIÃ“N METROPOLITANA DE SANTIAGO,133,CHACABUCO,13303,13303,TILTIL,19299,10016,9247,1452,2061,13188,1804,369,1273,6895,34,5711,6929,5791,6621,2,0,30,211,3,28,383,2003,2382,672,222,17,1082,12,4543,14,1,15,3,4764,316,376,170,33,4043,1521,62,4372,534,669,79,-33.062715553499984,-70.87618842350001,#1381c0
294,13,REGIÃ“N METROPOLITANA DE SANTIAGO,134,MAIPO,13401,13401,SAN BERNARDO,300615,147343,153153,23289,38110,205868,24130,6882,32736,89981,47,83857,90028,86203,72965,14739,5,643,1245,18,366,12512,59039,7561,3208,983,161,22125,5945,54690,201,8,230,38,75147,2288,4505,991,132,71317,10924,469,82529,274,410,33,-33.629269429499956,-70.72418101800007,#f632a3
295,13,REGIÃ“N METROPOLITANA DE SANTIAGO,134,MAIPO,13402,13402,BUIN,95970,47211,48677,7245,11588,65915,7594,1454,7403,30927,38,27863,30965,28455,30032,60,0,232,452,9,142,2724,16075,6159,1929,837,60,8170,235,19156,68,1,93,21,24903,977,1292,509,48,22491,4963,194,26328,1025,252,104,-33.74806209960001,-70.73894224290004,#f632a3
296,13,REGIÃ“N METROPOLITANA DE SANTIAGO,134,MAIPO,13403,13403,CALERA DE TANGO,25335,12624,12607,1694,2991,17397,2072,439,1355,7560,13,6981,7573,7081,7261,3,0,41,180,3,72,758,3002,2352,672,165,16,2471,24,4412,21,1,21,5,6210,274,338,117,13,5485,1396,49,5682,1147,88,13,-33.62325053229998,-70.79022853359997,#1381c0
297,13,REGIÃ“N METROPOLITANA DE SANTIAGO,134,MAIPO,13404,13404,PAINE,72358,36283,36075,5211,8860,49378,6293,1907,5785,24304,31,21147,24335,21530,23210,346,5,157,445,23,118,1322,9888,7370,1972,463,70,3837,209,16791,77,1,82,25,18075,1078,1293,524,49,16026,4712,187,18340,2460,113,100,-33.86371265539997,-70.75831370129993,#1381c0
298,13,REGIÃ“N METROPOLITANA DE SANTIAGO,135,MELIPILLA,13501,13501,MELIPILLA,123189,61055,61950,8918,14099,82864,13295,2745,8022,43182,63,38321,43245,38963,39403,2996,10,129,506,11,127,4406,17723,11939,3316,694,81,7679,1229,28888,99,3,75,37,33783,1483,1823,814,74,30227,7333,218,35104,2424,356,167,-33.743752538599935,-71.1936904819001,#f632a3
299,13,REGIÃ“N METROPOLITANA DE SANTIAGO,135,MELIPILLA,13502,13502,ALHUÃ‰,6366,3422,2880,309,480,4412,600,35,176,2613,28,1889,2641,1912,2480,2,1,6,92,1,31,44,481,937,274,141,10,176,0,1700,2,1,4,0,1431,163,173,98,14,1151,699,23,1692,94,61,31,-34.0427291332,-71.0564425064,#1381c0
300,13,REGIÃ“N METROPOLITANA DE SANTIAGO,135,MELIPILLA,13503,13503,CURACAVÃ,32495,16143,16281,2279,3700,21818,3498,571,2118,11754,22,9944,11776,10093,11201,180,2,39,255,10,67,564,4370,3831,990,132,40,1831,40,7976,20,0,29,6,8457,487,602,321,35,7519,2258,95,8045,1426,312,99,-33.36648656569999,-71.08013158779991,#f632a3
301,13,REGIÃ“N METROPOLITANA DE SANTIAGO,135,MELIPILLA,13504,13504,MARÃA PINTO,13579,6701,6664,785,1365,9071,1166,71,852,4846,2,4167,4848,4242,4705,0,0,11,112,0,18,149,1269,2069,536,124,9,587,5,3536,15,0,9,2,3522,250,249,108,19,2987,1115,34,3861,274,4,10,-33.498083830500015,-71.21040035810003,#1381c0
302,13,REGIÃ“N METROPOLITANA DE SANTIAGO,135,MELIPILLA,13505,13505,SAN PEDRO,9669,5097,4564,633,1075,6082,1108,250,573,4165,3,3193,4168,3227,3925,0,1,27,195,1,16,82,589,1886,479,134,13,325,0,2840,7,0,6,2,2445,255,212,223,33,1994,1107,53,1570,1223,330,45,-33.93179022189998,-71.45271032890004,#1381c0
303,13,REGIÃ“N METROPOLITANA DE SANTIAGO,136,TALAGANTE,13601,13601,TALAGANTE,73978,36603,37350,5605,8744,50855,6623,1175,5545,23169,19,21308,23188,21547,21247,1477,5,54,279,3,104,2089,14199,3525,1106,302,41,5630,634,14822,49,3,61,17,19096,467,1208,361,32,17858,3133,120,17767,3186,209,26,-33.682000114499964,-70.89544883789996,#f632a3
304,13,REGIÃ“N METROPOLITANA DE SANTIAGO,136,TALAGANTE,13602,13602,EL MONTE,35876,17768,18108,2865,4375,24087,3359,401,3380,11842,9,10717,11851,10867,10919,727,0,38,123,2,33,1915,4460,3164,874,251,19,1583,296,8740,13,0,27,3,8979,586,788,276,23,8008,2548,60,9646,848,152,24,-33.6678791261,-71.0335418234,#f632a3
305,13,REGIÃ“N METROPOLITANA DE SANTIAGO,136,TALAGANTE,13603,13603,ISLA DE MAIPO,36188,18015,18140,2521,4353,24408,3381,427,2413,11808,9,10713,11817,10846,11480,0,5,70,204,5,44,1664,3797,3802,1096,288,33,2258,31,8304,22,2,40,7,9086,522,670,354,19,7944,2593,85,8935,1637,61,16,-33.7487199371,-70.94591162229997,#f632a3
306,13,REGIÃ“N METROPOLITANA DE SANTIAGO,136,TALAGANTE,13604,13604,PADRE HURTADO,62444,31053,31367,5008,7189,42879,5031,1332,6334,20560,19,17988,20579,18393,19986,10,1,117,344,2,100,1702,10084,4480,1492,116,44,5339,123,12273,52,0,66,14,15841,740,852,402,26,14477,3192,129,16371,1453,46,7,-33.5575346736,-70.87100734909997,#f632a3
307,13,REGIÃ“N METROPOLITANA DE SANTIAGO,136,TALAGANTE,13605,13605,PEÃ‘AFLOR,90096,43888,46208,6954,11192,61194,8418,1152,6898,28493,27,26101,28520,26484,25673,2292,5,117,322,0,84,3225,17231,3963,1254,305,30,8462,813,16575,52,1,49,3,23552,716,1214,373,34,22181,3507,103,24184,1555,153,29,-33.61105972660002,-70.89374719489999,#f632a3
308,14,REGIÃ“N DE LOS RÃOS,141,VALDIVIA,14101,14101,VALDIVIA,165357,79821,85278,9831,16333,115331,17087,1421,28235,60829,235,53505,61064,54806,54168,4237,13,267,768,19,1357,4714,6579,35063,5518,73,1320,5834,813,45099,82,4,1295,27,49677,742,2222,421,16,42591,8069,2190,49751,1690,132,1576,-39.81778635950005,-73.1746908863999,#f632a3
309,14,REGIÃ“N DE LOS RÃOS,141,VALDIVIA,14102,14102,CORRAL,5290,2617,2664,264,483,3396,669,0,1597,2560,8,1839,2568,1858,2494,0,2,0,39,2,23,32,21,1396,184,0,199,77,0,1588,5,0,149,2,1774,17,24,7,1,1345,203,265,1265,39,0,521,-39.98517869980002,-73.37161333120001,#f632a3
310,14,REGIÃ“N DE LOS RÃOS,141,VALDIVIA,14103,14103,LANCO,16727,8193,8501,1000,1911,10746,1962,20,5218,6425,17,5635,6442,5686,6312,4,6,10,69,0,24,179,131,4293,830,20,158,206,2,5345,5,0,44,16,5113,82,323,87,10,4176,1209,208,4170,383,4,1039,-39.51218117820004,-72.6215188458,#f632a3
311,14,REGIÃ“N DE LOS RÃOS,141,VALDIVIA,14104,14104,LOS LAGOS,19582,9546,9710,1129,2017,12644,2025,15,2731,7869,23,6425,7892,6508,7675,6,0,21,125,3,39,164,110,4888,1022,10,207,289,1,5939,10,1,140,4,5945,83,271,84,2,4712,1325,318,3965,745,79,1612,-39.87851127800002,-72.55467556789996,#f632a3
312,14,REGIÃ“N DE LOS RÃOS,141,VALDIVIA,14105,14105,MÃFIL,7091,3434,3566,413,782,4521,841,0,1200,2704,5,2314,2709,2333,2645,5,2,2,41,0,9,73,56,1729,295,4,142,127,1,2105,3,0,56,7,2026,45,170,50,0,1622,490,172,1467,561,75,185,-39.69209998340002,-72.86390875989997,#f632a3
313,14,REGIÃ“N DE LOS RÃOS,141,VALDIVIA,14106,14106,MARIQUINA,21086,10493,10568,1189,2472,13455,2111,41,7887,8320,12,6723,8332,6812,8052,2,2,17,186,1,60,168,107,5078,903,15,425,276,1,6215,11,0,185,2,5965,158,405,153,4,4705,1443,511,4991,711,165,809,-39.51269167230005,-73.01922823649998,#f632a3
314,14,REGIÃ“N DE LOS RÃOS,141,VALDIVIA,14107,14107,PAILLACO,20033,9947,10021,1075,2007,12944,2125,71,3625,7544,23,6417,7567,6451,7349,21,1,18,105,3,47,149,145,4688,1045,21,350,223,0,5963,14,1,171,13,5787,59,433,97,5,4480,1445,430,4769,919,75,631,-40.074352896900066,-72.84344156960006,#f632a3
315,14,REGIÃ“N DE LOS RÃOS,141,VALDIVIA,14108,14108,PANGUIPULLI,33789,16746,16932,1658,3639,21972,3424,131,13895,16480,58,11343,16538,11444,16031,39,7,39,284,1,79,251,168,8808,1766,28,247,655,2,10407,26,1,135,33,10306,189,566,150,25,8368,2425,378,6554,1018,99,3567,-39.71460315229992,-72.02974413789987,#f632a3
316,14,REGIÃ“N DE LOS RÃOS,142,RANCO,14201,14201,LA UNIÃ“N,37891,18507,19127,2199,3929,24393,4505,42,9740,15028,37,12771,15065,12856,14457,230,3,63,216,0,59,606,526,9011,2046,31,470,957,29,11497,28,0,162,8,11320,203,899,241,8,8964,3053,572,9893,1835,214,728,-40.20179450019998,-73.22232108489996,#f632a3
317,14,REGIÃ“N DE LOS RÃOS,142,RANCO,14202,14202,FUTRONO,14581,7189,7344,941,1548,9055,1562,30,4607,6457,18,4855,6475,4898,6294,9,2,10,64,1,77,135,49,3663,664,8,306,323,3,4320,6,1,172,5,4473,74,190,57,3,3480,901,395,3539,300,15,973,-40.1185841775,-72.11600481950006,#f632a3
318,14,REGIÃ“N DE LOS RÃOS,142,RANCO,14203,14203,LAGO RANCO,9773,4957,4776,502,938,6113,1106,5,5085,5274,10,3472,5284,3484,5159,2,2,10,77,1,23,135,26,2465,518,11,303,191,0,3143,6,0,106,4,3318,34,63,30,8,2469,616,344,1762,305,42,1337,-40.37267773720003,-72.16616601629995,#1381c0
319,14,REGIÃ“N DE LOS RÃOS,142,RANCO,14204,14204,RÃO BUENO,31138,15154,15633,1422,2811,19610,3902,26,7932,13190,16,10945,13206,11024,12653,230,3,31,197,3,73,444,444,7694,1780,30,474,759,27,9748,47,3,250,29,9744,239,664,174,14,7569,2531,672,7791,2256,320,476,-40.49619076399996,-72.53543959299995,#f632a3
320,15,REGIÃ“N DE ARICA Y PARINACOTA,151,ARICA,15101,15101,ARICA,219417,107855,111209,16089,26109,146472,22131,15657,74785,72234,224,61949,72458,65413,55423,12725,166,992,2344,43,541,16668,34272,5997,3730,447,474,18432,17998,22496,906,109,1134,279,49465,3864,4334,2262,1310,46753,11810,2370,58260,1719,1153,239,-18.53219308439998,-69.97149108709989,#f632a3
321,15,REGIÃ“N DE ARICA Y PARINACOTA,151,ARICA,15102,15102,CAMARONES,1255,635,497,36,74,728,154,87,856,927,21,431,948,463,631,0,37,24,220,2,13,11,63,142,137,70,7,100,5,299,3,12,7,3,150,91,53,54,80,97,241,87,112,22,127,170,-18.93858957,-69.7140563923,#1381c0
322,15,REGIÃ“N DE ARICA Y PARINACOTA,152,PARINACOTA,15201,15201,PUTRE,2329,1625,602,31,94,1750,106,203,1245,1875,42,540,1917,564,1579,5,185,19,79,0,8,31,116,45,37,299,12,61,9,421,2,26,18,1,218,48,63,64,145,128,250,158,358,27,9,144,-18.4275114297,-69.31019307089997,#1381c0
323,15,REGIÃ“N DE ARICA Y PARINACOTA,152,PARINACOTA,15202,15202,GENERAL LAGOS,683,412,271,15,0,337,64,27,507,685,11,217,696,220,385,0,288,1,11,0,0,12,14,1,0,185,0,23,0,177,0,9,0,0,45,8,14,10,133,26,50,131,63,19,44,86,-17.829213502400002,-69.5707228083,#1381c0
324,16,REGIÃ“N DE Ã‘UBLE,161,DIGUILLÃN,16101,16101,CHILLÃN,184435,87228,97062,11254,19491,125069,20484,1790,8300,67684,109,60409,67793,61469,62893,3282,3,434,685,8,379,10262,31163,14824,3303,500,172,9601,1419,48816,150,3,121,20,55512,1390,2438,601,71,51917,7573,327,56415,3145,389,47,-36.61749166490005,-72.12872443119984,#f632a3
325,16,REGIÃ“N DE Ã‘UBLE,161,DIGUILLÃN,16102,16102,BULNES,21442,10276,11016,1286,2127,13840,2604,62,702,8724,8,7072,8732,7161,8203,155,1,17,312,2,34,541,1869,3545,853,154,81,479,45,6448,19,0,21,10,6276,263,305,149,24,5336,1540,115,5550,1297,158,20,-36.79040304240001,-72.29002158420005,#f632a3
326,16,REGIÃ“N DE Ã‘UBLE,161,DIGUILLÃN,16103,16103,CHILLÃN VIEJO,30857,14544,16294,2052,3782,20768,2534,111,1627,11246,9,10020,11255,10124,10534,381,2,38,253,2,36,1250,4782,3079,744,91,49,812,212,8881,28,1,20,4,9039,252,484,153,29,8273,1554,89,9006,717,213,26,-36.680354247100006,-72.19880517989999,#f632a3
327,16,REGIÃ“N DE Ã‘UBLE,161,DIGUILLÃN,16104,16104,EL CARMEN,12038,5934,6058,631,1197,7765,1735,6,276,4908,4,4074,4912,4109,4714,0,1,21,156,0,16,194,957,2098,610,71,130,256,7,3735,12,1,35,5,3240,262,285,210,52,2619,1214,193,1830,1753,195,266,-36.92511126520002,-71.84711056159996,#f632a3
328,16,REGIÃ“N DE Ã‘UBLE,161,DIGUILLÃN,16105,16105,PEMUCO,8441,4149,4185,464,822,5562,996,0,229,3422,5,2773,3427,2792,3218,0,0,3,181,0,20,230,789,1183,371,153,44,208,0,2537,3,0,20,2,2330,142,154,121,17,1870,814,76,2034,573,116,43,-36.98306467759996,-72.06784753730003,#f632a3
329,16,REGIÃ“N DE Ã‘UBLE,161,DIGUILLÃN,16106,16106,PINTO,10742,5244,5425,475,951,7043,1331,20,315,5383,14,3719,5397,3747,5242,1,1,7,98,0,34,214,554,2319,551,47,21,281,1,3404,7,0,11,3,3240,149,206,96,21,2720,925,53,2401,845,178,275,-36.92145035080003,-71.49994427720002,#f632a3
330,16,REGIÃ“N DE Ã‘UBLE,161,DIGUILLÃN,16107,16107,QUILLÃ“N,17341,8300,8499,838,1411,11169,2618,8,651,10661,5,6289,10666,6344,10317,10,0,13,260,2,59,301,1481,3494,812,101,78,535,5,5634,17,0,41,19,5093,364,510,207,77,4340,1700,183,3962,1926,170,200,-36.81845806229997,-72.50180547160002,#f632a3
331,16,REGIÃ“N DE Ã‘UBLE,161,DIGUILLÃN,16108,16108,SAN IGNACIO,16056,7858,8161,732,1453,10510,1833,22,349,6640,4,5573,6644,5616,6361,1,2,26,217,1,32,338,1360,2747,861,154,96,510,2,4971,16,1,36,3,4457,382,357,265,76,3645,1674,194,3269,2003,229,35,-36.82244789540003,-72.02940153139991,#f632a3
332,16,REGIÃ“N DE Ã‘UBLE,161,DIGUILLÃN,16109,16109,YUNGAY,17574,8816,8699,905,1789,11421,2094,0,688,8163,19,6168,8182,6204,7914,42,4,23,138,4,38,442,1186,3492,932,41,58,457,5,5638,8,0,22,2,5264,223,454,172,26,4417,1595,95,5101,741,188,102,-37.10466991130003,-71.93058293229994,#1381c0
333,16,REGIÃ“N DE Ã‘UBLE,162,ITATA,16201,16201,QUIRIHUE,11553,5524,5810,460,1021,7382,1489,0,332,5208,14,4248,5222,4278,4914,23,1,17,231,2,20,174,1053,2197,557,208,51,330,6,3851,18,0,18,4,3724,126,243,79,54,3050,1045,114,3353,338,292,239,-36.23559933060004,-72.5436475816999,#f632a3
334,16,REGIÃ“N DE Ã‘UBLE,162,ITATA,16202,16202,COBQUECURA,5000,2353,2380,112,215,3105,640,4,213,3193,14,1938,3207,1960,3016,0,1,17,136,0,23,79,342,1002,325,165,19,252,0,1665,7,0,7,2,1513,125,138,105,50,1173,682,69,895,283,250,496,-36.18087979010004,-72.72059336909992,#f632a3
335,16,REGIÃ“N DE Ã‘UBLE,162,ITATA,16203,16203,COELEMU,15892,7750,7998,908,1625,10275,2021,4,736,6077,12,5182,6089,5239,5835,12,0,30,173,0,27,340,1424,2629,663,66,43,484,3,4637,7,0,13,8,4676,76,253,128,17,3997,1056,73,3575,892,274,409,-36.50498120049998,-72.7504237915,#f632a3
336,16,REGIÃ“N DE Ã‘UBLE,162,ITATA,16204,16204,NINHUE,5181,2555,2626,219,326,3276,755,5,82,2278,2,1882,2280,1892,2138,0,0,9,121,1,9,64,380,1076,234,105,18,123,1,1742,7,0,1,0,1471,124,156,92,32,1235,587,46,581,910,273,100,-36.356757488400014,-72.40970676420005,#f632a3
337,16,REGIÃ“N DE Ã‘UBLE,162,ITATA,16205,16205,PORTEZUELO,4860,2354,2400,127,322,3038,593,0,46,2065,3,1724,2068,1748,1870,0,0,11,181,0,3,50,282,894,264,216,14,114,0,1578,23,0,1,0,1387,121,105,63,37,1023,633,49,1024,431,156,104,-36.54628208530002,-72.46663825139996,#f632a3
338,16,REGIÃ“N DE Ã‘UBLE,162,ITATA,16206,16206,RÃNQUIL,5748,2779,2859,207,370,3541,876,0,161,2816,5,2094,2821,2107,2650,0,1,6,145,0,14,96,355,1199,336,85,16,183,4,1886,5,0,4,1,1835,112,76,43,14,1457,580,34,1397,350,109,223,-36.6404630897,-72.58795976459999,#f632a3
339,16,REGIÃ“N DE Ã‘UBLE,162,ITATA,16207,16207,TREGUACO,5401,2684,2684,240,507,3389,637,0,200,2522,2,1982,2524,1997,2396,0,1,5,112,0,8,74,445,1140,228,53,37,94,0,1860,4,0,7,5,1676,54,147,66,21,1431,464,63,1044,671,138,109,-36.428007033000014,-72.65978767519996,#f632a3
340,16,REGIÃ“N DE Ã‘UBLE,163,PUNILLA,16301,16301,SAN CARLOS,52872,25224,27405,2745,5324,34802,6326,76,1234,20912,16,18073,20928,18223,20021,448,0,83,292,2,66,2030,7362,6432,1647,411,149,1713,129,16036,52,4,56,2,15585,692,1030,537,121,13874,3751,284,15361,2262,235,74,-36.38574606400007,-72.019057169,#f632a3
341,16,REGIÃ“N DE Ã‘UBLE,163,PUNILLA,16302,16302,COIHUECO,26872,13401,13440,1750,2910,17815,2731,55,1035,10044,5,8601,10049,8684,9784,5,13,17,201,0,24,372,1800,5092,1120,79,118,646,4,7865,18,1,28,7,7630,329,377,194,33,6530,1826,177,6660,1619,128,148,-36.70191544169998,-71.58173713609996,#f632a3
342,16,REGIÃ“N DE Ã‘UBLE,163,PUNILLA,16303,16303,Ã‘IQUÃ‰N,11145,5517,5465,567,1036,6888,1703,7,220,4835,5,4002,4840,4039,4660,0,0,8,149,4,14,270,1879,1167,376,249,48,281,5,3672,7,0,10,3,3212,304,238,161,71,2754,1093,121,3071,844,53,9,-36.30229649619997,-71.8979040739,#1381c0
343,16,REGIÃ“N DE Ã‘UBLE,163,PUNILLA,16304,16304,SAN FABIÃN,4275,2133,2051,205,337,2701,634,4,158,2285,7,1499,2292,1523,2170,1,0,6,57,0,51,116,397,739,174,17,49,88,2,1373,2,0,30,1,1248,79,90,57,16,1063,339,85,1333,24,21,108,-36.5798231906,-71.28775659129998,#1381c0
344,16,REGIÃ“N DE Ã‘UBLE,163,PUNILLA,16305,16305,SAN NICOLÃS,11603,5737,5755,571,1046,7408,1345,14,273,4725,2,3958,4727,3989,4565,0,1,19,127,0,13,205,806,2096,603,209,34,246,1,3664,12,0,11,1,3217,287,231,151,53,2642,1184,92,2789,937,168,35,-36.4796077479,-72.22838178169997,#f632a3
